
2026-04-28 08:52:27 [1/33] Using 32 available CPUs: [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31].
---- Running throughput benchmarks with up to 32 CPUs (higher is better) ----
   tbb::concurrent_bounded_queue,13,i:     810,306 msg/sec
   tbb::concurrent_bounded_queue,14,s:     698,557 msg/sec
   tbb::concurrent_bounded_queue,14,i:     805,917 msg/sec
   tbb::concurrent_bounded_queue,15,s:     685,960 msg/sec
   tbb::concurrent_bounded_queue,15,i:     773,669 msg/sec
   tbb::concurrent_bounded_queue,16,s:     666,208 msg/sec
   tbb::concurrent_bounded_queue,16,i:     749,350 msg/sec
     xenium::michael_scott_queue, 1,s:   3,769,676 msg/sec
     xenium::michael_scott_queue, 1,i:   3,816,581 msg/sec
     xenium::michael_scott_queue, 2,s:   2,770,214 msg/sec
     xenium::michael_scott_queue, 2,i:   2,687,416 msg/sec
     xenium::michael_scott_queue, 3,s:   2,248,165 msg/sec
     xenium::michael_scott_queue, 3,i:   2,211,523 msg/sec
     xenium::michael_scott_queue, 4,s:   1,726,975 msg/sec
     xenium::michael_scott_queue, 4,i:   1,730,110 msg/sec
     xenium::michael_scott_queue, 5,s:   1,058,680 msg/sec
     xenium::michael_scott_queue, 5,i:   1,369,207 msg/sec
     xenium::michael_scott_queue, 6,s:     982,148 msg/sec
     xenium::michael_scott_queue, 6,i:   1,061,788 msg/sec
     xenium::michael_scott_queue, 7,s:     937,878 msg/sec
     xenium::michael_scott_queue, 7,i:     961,277 msg/sec
     xenium::michael_scott_queue, 8,s:     701,562 msg/sec
     xenium::michael_scott_queue, 8,i:     821,011 msg/sec
     xenium::michael_scott_queue, 9,s:     859,499 msg/sec
     xenium::michael_scott_queue, 9,i:     836,561 msg/sec
     xenium::michael_scott_queue,10,s:     833,282 msg/sec
     xenium::michael_scott_queue,10,i:     836,526 msg/sec
     xenium::michael_scott_queue,11,s:     823,628 msg/sec
     xenium::michael_scott_queue,11,i:     833,502 msg/sec
     xenium::michael_scott_queue,12,s:     761,114 msg/sec
     xenium::michael_scott_queue,12,i:     806,001 msg/sec
     xenium::michael_scott_queue,13,s:     741,048 msg/sec
     xenium::michael_scott_queue,13,i:     783,200 msg/sec
     xenium::michael_scott_queue,14,s:     705,825 msg/sec
     xenium::michael_scott_queue,14,i:     769,043 msg/sec
     xenium::michael_scott_queue,15,s:     680,410 msg/sec
     xenium::michael_scott_queue,15,i:     760,390 msg/sec
     xenium::michael_scott_queue,16,s:     647,769 msg/sec
     xenium::michael_scott_queue,16,i:     731,042 msg/sec
         xenium::ramalhete_queue, 1,s:  22,533,226 msg/sec
         xenium::ramalhete_queue, 1,i:  13,547,172 msg/sec
         xenium::ramalhete_queue, 2,s:  12,854,415 msg/sec
         xenium::ramalhete_queue, 2,i:  14,926,177 msg/sec
         xenium::ramalhete_queue, 3,s:  14,354,119 msg/sec
         xenium::ramalhete_queue, 3,i:  13,724,900 msg/sec
         xenium::ramalhete_queue, 4,s:  14,182,259 msg/sec
         xenium::ramalhete_queue, 4,i:  14,634,619 msg/sec
         xenium::ramalhete_queue, 5,s:  10,978,725 msg/sec
         xenium::ramalhete_queue, 5,i:   6,820,094 msg/sec
         xenium::ramalhete_queue, 6,s:  11,447,548 msg/sec
         xenium::ramalhete_queue, 6,i:   7,697,022 msg/sec
         xenium::ramalhete_queue, 7,s:  11,827,165 msg/sec
         xenium::ramalhete_queue, 7,i:   8,305,209 msg/sec
         xenium::ramalhete_queue, 8,s:  14,847,138 msg/sec
         xenium::ramalhete_queue, 8,i:   8,889,994 msg/sec
         xenium::ramalhete_queue, 9,s:  10,323,036 msg/sec
         xenium::ramalhete_queue, 9,i:  10,455,717 msg/sec
         xenium::ramalhete_queue,10,s:  10,188,948 msg/sec
         xenium::ramalhete_queue,10,i:  12,039,805 msg/sec
         xenium::ramalhete_queue,11,s:  10,715,813 msg/sec
